DWT/TEU;LOA;Lpp;Beam;Depth;Draft ;Displ;WLatLoad;WLatBal;WTnvLoad;WTnvBal
5000;109;101;15.5;8.6;6.2;6920;689;910;221;245
7000;120;111;17.2;9.5;6.9;9520;795;1090;250;287
10000;132;124;19.2;10.6;7.7;13300;930;1320;286;340
15000;149;140;21.8;11.9;8.6;19600;1100;1630;331;411
20000;161;152;23.8;13;9.4;25700;1240;1900;369;470
30000;181;172;27;14.7;10.6;37700;1480;2360;428;569
50000;209;200;32.3;17.1;12.4;61100;1830;3090;518;723
70000;231;221;32.3;18.9;13.7;84000;2110;3690;586;846
100000;255;246;39.2;21.1;15.2;118000;2460;4460;669;1000
150000;287;278;44.5;23.8;17.1;173000;2920;5520;777;1210
200000;311;303;48.7;25.9;18.6;227000;3300;6430;864;1380
250000;332;324;52.2;27.7;19.9;280000;3630;7240;938;1540
