DWT/TEU;LOA;Lpp;Beam;Depth;Draft ;Displ;WLatLoad;WLatBal;WTnvLoad;WTnvBal
400000;385;370;64;32.5;24;460000;1196;1927;4552;8741
350000;372;357;60.5;31.2;23;406000;1131;1822;4398;8446
300000;360;348;57.4;30;21.8;350000;1073;1728;4261;8183
250000;340;333;53.8;28.2;20.4;287000;1006;1620;4020;7720
200000;319;311;50.2;26.4;19.1;232000;926;1460;3660;6860
150000;294;286;45.9;24.2;17.5;177000;833;1280;3240;5890
100000;262;253;40.5;21.4;15.5;121000;717;1050;2720;4750
70000;236;227;32.3;19.3;14;86000;628;892;2340;3930
50000;215;206;32.3;17.4;12.7;62600;555;761;2030;3290
30000;186;176;27.9;14.9;10.9;38600;459;599;1630;2510
20000;165;156;24.6;13.2;9.6;26300;395;495;1370;2030
15000;152;143;22.5;12.1;8.9;20000;356;433;1220;1740
10000;136;127;19.8;10.8;7.9;13700;306;358;1020;1400
7000;123;114;17.7;9.7;7.1;9740;268;303;880;1160
5000;111;103;16;8.7;6.4;7090;237;259;763;970
