DWT/TEU;LOA;Lpp;Beam;Depth;Draft ;Displ;WLatLoad;WLatBal;WTnvLoad;WTnvBal
18000;470;446;60;34;20;375000;21161;17759;3408;3300
15000;398;378;56.4;27;15.5;264000;16704;14391;2777;2763
12000;382;363;53;26.5;15.5;204000;13890;12222;2409;2368
10000;370;351;45.8;25.5;15;175000;11869;10621;2141;2065
9000;352;335;45.6;25.2;14.8;172000;11664;10458;2113;2035
8000;340;323;43.2;24.6;14.5;160000;10972;9905;2019;1930
6000;318;302;42.8;24.2;14.2;131000;9153;8430;1763;1649
5000;290;275;40;22.8;14;91000;7165;6780;1468;1334
4000;285;270;32.3;22.6;13.5;85000;6740;6421;1401;1265
3000;280;266;32.3;22.5;13.5;80500;6390;6260;1380;1190
2000;256;243;32.3;20.6;12.6;65000;5460;5450;1232;1040
1000;195;184;28;15.7;10.2;33500;3360;3530;855;679
500;148;139;23.2;11.9;8.3;17400;2060;2290;594;445
300;129;121;21.1;10.3;7.4;12300;1600;1830;492;358
