DWT/TEU;LOA;Lpp;Beam;Depth;Draft ;Displ;WLatLoad;WLatBal;WTnvLoad;WTnvBal
1000;67;62;10.8;5.8;3.9;1690;278;342;63;93
2000;83;77;13.1;7.2;4.9;3250;426;541;101;142
3000;95;88;14.7;8.1;5.6;4750;547;708;132;182
5000;111;104;16.9;9.4;6.6;7690;750;993;185;249
7000;123;115;18.6;10.4;7.4;10600;922;1240;232;307
10000;137;129;20.5;11.6;8.3;14800;1150;1570;294;382
15000;156;147;23;13.1;9.5;21600;1480;2060;385;490
20000;170;161;24.9;14.3;10.4;28400;1760;2490;466;585
30000;193;183;27.8;16.2;11.9;41600;2260;3250;611;750
40000;211;200;30.2;17.6;13;54500;2700;3940;740;895
