DWT/TEU;LOA;Lpp;Beam;Depth;Draft ;Displ;WLatLoad;WLatBal;WTnvLoad;WTnvBal
500000;456;431;80,3;36,5;26,4;650000;5990;11620;1813;2710
450000;410;394;77;35;25;585000;5648;10917;1733;2575
350000;401;393;65,5;34,8;24,2;462000;5250;9408;1475;2190
300000;388;382;62,2;34,6;22,3;399000;5080;8570;1400;2080
250000;363;356;59;32;21,1;335000;4565;7655;1275;1875
200000;341;336;54,8;30;19,8;271000;4050;6740;1150;1670
175000;330;323;53;28,5;18,6;238700;3750;6215;1080;1545
150000;312;306;50,2;27,1;18,2;206000;3450;5690;1010;1420
125000;297;291;44,7;25,3;17,6;171600;3100;5080;920;1280
100000;274;268;44,2;23,5;16,2;140000;2750;4470;830;1140
80000;258;251;43,2;21,9;15,3;113000;2440;3945;752;1014
70000;245;239;39,6;20,8;14,6;99200;2250;3620;701;935
50000;220;215;32,3;18,5;13,2;72000;1870;2970;598;777
30000;188;182;30,4;15,4;11,4;44200;1400;2190;469;587
20000;165;160;26,8;13,4;10,1;30000;1120;1730;387;469
15000;151;146;24,5;12,1;9,3;22800;950;1460;338;401
10000;133;128;21,6;10,5;8,3;15500;760;1150;279;320
5000;107;102;17,5;8,2;6,8;7970;516;760;201;219
1000;64;61;10,6;4,7;4,2;1710;210;293;90;94
;;;;;;;;;;
;;;;;;;;;;
